,class,name,alias
1,成長價值,成就感,成就感|知名度|認可|影響力|獨立性|工作挑戰|貢獻感|工作獨立|可幫助人|工作回饋性|社會地位|菁英感|充實度|聲望|認同度
,成長價值,學習成長,保母制度|mentor制度|期望|教育訓練|出國|學到|學習成長|學習|成長|解決問題|課程|學習機會|技能培養|工作經驗|工作豐富化|工作擴大化|教育訓練|導師制度|績效評估反饋
,成長價值,創新,創新|開放創新|創造力|員工創新行為
2,經濟報酬,薪資,員工認股|分紅|薪資|待遇|薪資調整|資遣費|退休金|加薪|薪酬|加班費|底薪|工資|薪水|薪資|年薪|月薪|年終|調薪
,經濟報酬,福利,員工認股|獎金|休假|福利|有薪假|補貼|社團活動|員工旅遊|育嬰假|生育假|體檢|出國進修|培訓|工會|開支報銷|轉介獎金|家庭照顧假|保險|紅利|分紅|特休|三節獎金|彈性福利金|免費宿舍|紅利績效獎金|股票|團保|進修補助|生日假|家庭日
,經濟報酬,管理制度,勞基法|文化|值班|排班|oncall|夜班|輪調|小夜|管理制度|管理|制度|知識管理|企業社會責任|資源分配|組織文化|職業發展|工作安全|人事管理|薪酬管理|績效管理|教育訓練|績效考核|晉升制度|考勤管理|差勤管理|彈性工時|加班|輪班
3,人際價值,工作氛圍,隨便|嚴謹|高工時|高壓|工作氛圍|氛圍|數位化|場所|時段|挑戰|效率|樂趣|壓力|居家工作|遠距工作|WFH|工作生活平衡|彈性遠距工作|人際關係|領導方式|心理相容程度
,人際價值,同事互動,向心力|融洽|協助|團隊合作|同事愛|交流|同事互動|同事|互動|同理心|信任|情緒管理|協作|合作|溝通|任務相關互動|非任務相關互動|凝聚力|員工衝突|同事間之監督
,人際價值,主管風格,權威|威權|民主|教練|資深|耐心|主管風格|主管|風格|尊重|親切|霸道|強硬|指導|授權|領導力|激勵|轉換型領導|交易型領導
4,組織文化與制度,工作地點,交通|工作地點|地點|路程|便利|位置|機能|停車|交通|通勤時間|都市|偏僻|轉乘
,組織文化與制度,公司規模,美商|海外|半導體業|外商|公司規模|規模|半導體業|傳統產業|傳產|科技業|社會企業|國營企業|外商|跨國企業|微型企業|中型企業|小型企業|上市公司|新創公司|中小型企業|大型企業
,組織文化與制度,工作環境,紓壓空間|零食櫃|明亮|舒適|乾淨|無塵室|無塵衣|工作環境|環境|安全|溫度|空氣|噪音|個人隱私|私人辦公|私人空間|實際工作環境|基礎設施|氛圍因素|空間設計|公共空間
